latitude,longitude,codigo,descricao
-23559949,-46731582,Bloco A,Instituto de Matematica e estatistica IME
-23559928,-46732042,Bloco B,Instituto de Matematica e estatistica IME
-23558245,-46717775,Portao 17,Estadio
-23559208,-46715768,Portao 14,Estadio
-23557718,-46721467,CRUSP,CRUSP
-23558722,-46722180,COSEAS,COSEAS
-23559917,-46722741,MAC,Museu de arte contemporanea
-23560420,-46723097,BASE 1,Guarda Universitaria
-23560846,-46723334,Conselho Universitario,Reitoria
-23561677,-46722597,Portaria B,Reitoria
-23560539,-46726690,Praca dos Bancos,Praca dos Bancos
-23559193,-46729435,FEA,Faculdade de Economia e Administracao
-23557589,-46732929,POLI,Escola Politecnica
-23556920,-46734554,IPT,Instituto de pesquisas tecnológicas
-23557162,-46733073,IEE,Numero 1289
-23558374,-46731870,Bloco C,IME
-23558651,-46731297,Anexo Bloco C IME,Centro de Competencia em Software Livre
-23561648,-46724956,FFLCH,Letras
-23562043,-46724240,FFLCH,Filosofia e Ciencias Sociais
-23563900,-46722170,FFLCH,Hitória e Geografia
-23564732,-46723728,FCF,Faculdade de Ciencias Farmaceuticas
-23565629,-46725414,IQ,Instituto de Quimica
-23566738,-46727410,Biblioteca da Quimica,Biblioteca da Quimica
-23566691,-46726833,CEPAM,Fundacao Prefeito Faria Lima
-23566285,-46725915,IGC,Instituto geografico e Cartografico
-23566116,-46730183,IBG,Instituto de Botanica e Genetica
-23560722,-46730618,FAU,Faculdade de Arquitetura e Urbanismo
-23560726,-46731934,IO,Instituto Oceanografico
-23560805,-46733566,IF,Instituto de Fisica
-23559776,-46733955,22,22
-23559548,-46735162,IF,Instituto de Fisica
-23559701,-46739351,Correios,Prefeitura
-23566883,-46738093,FO,Faculdade de Odontologia
-23563266,-46716160,FE,Faculdade de Educacao
-23558651,-46731297,Anexo Bloco C IME,Centro de Competencia em Software Livre
-23561648,-46724956,FFLCH,Letras
-23562043,-46724240,FFLCH,Filosofia e Ciencias Sociais
-23568717,-46740273,FMVZ,Faculdade de Medicina Veterinaria e Zootecnia
